-0.1703, 0.5808, 0.3700, 2.8768, 0.9070, 1.6609
-0.1592, 0.5664, 0.3700, 2.8787, 1.0478, 1.6620
-0.1470, 0.5530, 0.3700, 2.8748, 1.1908, 1.6598
-0.1336, 0.5408, 0.3700, 2.8647, 1.3358, 1.6539
-0.1192, 0.5297, 0.3700, 2.8482, 1.4827, 1.6444
-0.1039, 0.5200, 0.3700, 2.8249, 1.6310, 1.6310
-0.0878, 0.5116, 0.3700, 2.7947, 1.7804, 1.6135
-0.0711, 0.5047, 0.3700, 2.7572, 1.9306, 1.5919
-0.0538, 0.4992, 0.3700, 2.7122, 2.0811, 1.5659
-0.0361, 0.4953, 0.3700, 2.6594, 2.2315, 1.5354
-0.0181, 0.4929, 0.3700, 2.5987, 2.3813, 1.5003
-0.0000, 0.4922, 0.3700, 2.5298, 2.5298, 1.4606
0.0181, 0.4929, 0.3700, 2.4526, 2.6765, 1.4160
0.0361, 0.4953, 0.3700, 2.3670, 2.8208, 1.3666
0.0538, 0.4992, 0.3700, 2.2728, 2.9620, 1.3122
0.0711, 0.5047, 0.3700, 2.1701, 3.0993, 1.2529
0.0878, 0.5116, 0.3700, 2.0590, 3.2319, 1.1887
0.1039, 0.5200, 0.3700, 1.9394, 3.3592, 1.1197
0.1192, 0.5297, 0.3700, 1.8117, 3.4803, 1.0460
0.1336, 0.5408, 0.3700, 1.6760, 3.5943, 0.9677
0.1470, 0.5530, 0.3700, 1.5328, 3.7005, 0.8850
0.1592, 0.5664, 0.3700, 1.3824, 3.7980, 0.7981
0.1703, 0.5808, 0.3700, 1.2253, 3.8862, 0.7074
0.1800, 0.5961, 0.3700, 1.0622, 3.9643, 0.6133
0.1884, 0.6122, 0.3700, 0.8938, 4.0315, 0.5160
0.1953, 0.6289, 0.3700, 0.7207, 4.0874, 0.4161
0.2008, 0.6462, 0.3700, 0.5439, 4.1315, 0.3140
0.2047, 0.6639, 0.3700, 0.3642, 4.1632, 0.2103
0.2071, 0.6819, 0.3700, 0.1826, 4.1824, 0.1054
0.1839, 0.7000, 0.4043, 0.0000, 4.0143, -0.0000
0.1832, 0.7160, 0.4043, -0.1750, 4.0087, -0.0816
0.1811, 0.7319, 0.4043, -0.3493, 3.9922, -0.1629
0.1776, 0.7476, 0.4043, -0.5220, 3.9647, -0.2434
0.1728, 0.7629, 0.4043, -0.6923, 3.9265, -0.3228
0.1666, 0.7777, 0.4043, -0.8597, 3.8779, -0.4009
0.1592, 0.7919, 0.4043, -1.0233, 3.8192, -0.4772
0.1506, 0.8055, 0.4043, -1.1826, 3.7508, -0.5515
0.1408, 0.8182, 0.4043, -1.3369, 3.6732, -0.6234
0.1300, 0.8300, 0.4043, -1.4858, 3.5870, -0.6928
0.1182, 0.8408, 0.4043, -1.6286, 3.4926, -0.7594
0.1055, 0.8506, 0.4043, -1.7650, 3.3906, -0.8230
0.0919, 0.8592, 0.4043, -1.8947, 3.2817, -0.8835
0.0777, 0.8666, 0.4043, -2.0173, 3.1665, -0.9407
0.0629, 0.8728, 0.4043, -2.1325, 3.0455, -0.9944
0.0476, 0.8776, 0.4043, -2.2402, 2.9195, -1.0446
0.0319, 0.8811, 0.4043, -2.3403, 2.7891, -1.0913
0.0160, 0.8832, 0.4043, -2.4327, 2.6548, -1.1344
0.0000, 0.8839, 0.4043, -2.5173, 2.5173, -1.1738
-0.0160, 0.8832, 0.4043, 1.7866, -1.6371, 0.8331
-0.0319, 0.8811, 0.4043, 1.8694, -1.5686, 0.8717
-0.0476, 0.8776, 0.4043, 1.9503, -1.4966, 0.9095
-0.0629, 0.8728, 0.4043, 2.0293, -1.4209, 0.9463
-0.0777, 0.8666, 0.4043, 2.1062, -1.3418, 0.9821
-0.0919, 0.8592, 0.4043, 2.1808, -1.2591, 1.0169
-0.1055, 0.8506, 0.4043, 2.2531, -1.1729, 1.0506
-0.1182, 0.8408, 0.4043, 2.3228, -1.0832, 1.0832
-0.1300, 0.8300, 0.4043, 2.3899, -0.9899, 1.1145
-0.1408, 0.8182, 0.4043, 2.4542, -0.8933, 1.1444
-0.1506, 0.8055, 0.4043, 2.5156, -0.7932, 1.1730
-0.1592, 0.7919, 0.4043, 2.5738, -0.6896, 1.2002
-0.1666, 0.7777, 0.4043, 2.6287, -0.5828, 1.2258
-0.1728, 0.7629, 0.4043, 2.6801, -0.4726, 1.2498
-0.1776, 0.7476, 0.4043, 2.7279, -0.3591, 1.2720
-0.1811, 0.7319, 0.4043, 2.7718, -0.2425, 1.2925
-0.1832, 0.7160, 0.4043, 2.8116, -0.1228, 1.3111
-0.1839, 0.7000, 0.4043, 2.8472, 0.0000, 1.3277
-0.1832, 0.6840, 0.4043, 2.8784, 0.1257, 1.3422
-0.1811, 0.6681, 0.4043, 2.9049, 0.2541, 1.3546
-0.1776, 0.6524, 0.4043, 2.9265, 0.3853, 1.3647
-0.1728, 0.6371, 0.4043, 2.9430, 0.5189, 1.3724
-0.1666, 0.6223, 0.4043, 2.9542, 0.6549, 1.3776
-0.1592, 0.6081, 0.4043, 2.9599, 0.7931, 1.3802
-0.1506, 0.5945, 0.4043, 2.9598, 0.9332, 1.3802
-0.1408, 0.5818, 0.4043, 2.9536, 1.0750, 1.3773
-0.1300, 0.5700, 0.4043, 2.9413, 1.2183, 1.3715
-0.1182, 0.5592, 0.4043, 2.9225, 1.3628, 1.3628
-0.1055, 0.5494, 0.4043, 2.8970, 1.5081, 1.3509
-0.0919, 0.5408, 0.4043, 2.8647, 1.6539, 1.3358
-0.0777, 0.5334, 0.4043, 2.8253, 1.7999, 1.3175
-0.0629, 0.5272, 0.4043, 2.7788, 1.9457, 1.2958
-0.0476, 0.5224, 0.4043, 2.7248, 2.0908, 1.2706
-0.0319, 0.5189, 0.4043, 2.6633, 2.2348, 1.2419
-0.0160, 0.5168, 0.4043, 2.5941, 2.3771, 1.2097
-0.0000, 0.5161, 0.4043, 2.5173, 2.5173, 1.1738
0.0160, 0.5168, 0.4043, 2.4327, 2.6548, 1.1344
0.0319, 0.5189, 0.4043, 2.3403, 2.7891, 1.0913
0.0476, 0.5224, 0.4043, 2.2402, 2.9195, 1.0446
0.0629, 0.5272, 0.4043, 2.1325, 3.0455, 0.9944
0.0777, 0.5334, 0.4043, 2.0173, 3.1665, 0.9407
0.0919, 0.5408, 0.4043, 1.8947, 3.2817, 0.8835
0.1055, 0.5494, 0.4043, 1.7650, 3.3906, 0.8230
0.1182, 0.5592, 0.4043, 1.6286, 3.4926, 0.7594
0.1300, 0.5700, 0.4043, 1.4858, 3.5870, 0.6928
0.1408, 0.5818, 0.4043, 1.3369, 3.6732, 0.6234
0.1506, 0.5945, 0.4043, 1.1826, 3.7508, 0.5515
0.1592, 0.6081, 0.4043, 1.0233, 3.8192, 0.4772
0.1666, 0.6223, 0.4043, 0.8597, 3.8779, 0.4009
0.1728, 0.6371, 0.4043, 0.6923, 3.9265, 0.3228
0.1776, 0.6524, 0.4043, 0.5220, 3.9647, 0.2434
0.1811, 0.6681, 0.4043, 0.3493, 3.9922, 0.1629
0.1832, 0.6840, 0.4043, 0.1750, 4.0087, 0.0816
0.1543, 0.7000, 0.4339, 0.0000, 3.8397, -0.0000
0.1537, 0.7134, 0.4339, -0.1674, 3.8349, -0.0609
0.1519, 0.7268, 0.4339, -0.3342, 3.8204, -0.1217
0.1490, 0.7399, 0.4339, -0.4998, 3.7964, -0.1819
0.1450, 0.7528, 0.4339, -0.6635, 3.7630, -0.2415
0.1398, 0.7652, 0.4339, -0.8248, 3.7204, -0.3002
0.1336, 0.7771, 0.4339, -0.9830, 3.6687, -0.3578
0.1264, 0.7885, 0.4339, -1.1377, 3.6084, -0.4141
0.1182, 0.7992, 0.4339, -1.2884, 3.5397, -0.4689
0.1091, 0.8091, 0.4339, -1.4344, 3.4631, -0.5221
0.0992, 0.8182, 0.4339, -1.5756, 3.3788, -0.5735
0.0885, 0.8264, 0.4339, -1.7113, 3.2873, -0.6229
0.0771, 0.8336, 0.4339, -1.8413, 3.1892, -0.6702
0.0652, 0.8398, 0.4339, -1.9652, 3.0847, -0.7153
0.0528, 0.8450, 0.4339, -2.0828, 2.9745, -0.7581
0.0399, 0.8490, 0.4339, -2.1938, 2.8591, -0.7985
0.0268, 0.8519, 0.4339, -2.2981, 2.7388, -0.8364
0.0134, 0.8537, 0.4339, -2.3955, 2.6142, -0.8719
0.0000, 0.8543, 0.4339, -2.4859, 2.4859, -0.9048
-0.0134, 0.8537, 0.4339, 1.9050, -1.7456, 0.6934
-0.0268, 0.8519, 0.4339, 1.9911, -1.6707, 0.7247
-0.0399, 0.8490, 0.4339, 2.0748, -1.5921, 0.7552
-0.0528, 0.8450, 0.4339, 2.1562, -1.5098, 0.7848
-0.0652, 0.8398, 0.4339, 2.2349, -1.4238, 0.8134
-0.0771, 0.8336, 0.4339, 2.3110, -1.3342, 0.8411
-0.0885, 0.8264, 0.4339, 2.3841, -1.2411, 0.8677
-0.0992, 0.8182, 0.4339, 2.4542, -1.1444, 0.8933
-0.1091, 0.8091, 0.4339, 2.5212, -1.0443, 0.9176
-0.1182, 0.7992, 0.4339, 2.5848, -0.9408, 0.9408
-0.1264, 0.7885, 0.4339, 2.6449, -0.8339, 0.9626
-0.1336, 0.7771, 0.4339, 2.7012, -0.7238, 0.9832
-0.1398, 0.7652, 0.4339, 2.7538, -0.6105, 1.0023
-0.1450, 0.7528, 0.4339, 2.8022, -0.4941, 1.0199
-0.1490, 0.7399, 0.4339, 2.8465, -0.3747, 1.0360
-0.1519, 0.7268, 0.4339, 2.8864, -0.2525, 1.0506
-0.1537, 0.7134, 0.4339, 2.9216, -0.1276, 1.0634
-0.1543, 0.7000, 0.4339, 2.9521, 0.0000, 1.0745
-0.1537, 0.6866, 0.4339, 2.9777, 0.1300, 1.0838
-0.1519, 0.6732, 0.4339, 2.9980, 0.2623, 1.0912
-0.1490, 0.6601, 0.4339, 3.0131, 0.3967, 1.0967
-0.1450, 0.6472, 0.4339, 3.0226, 0.5330, 1.1001
-0.1398, 0.6348, 0.4339, 3.0264, 0.6709, 1.1015
-0.1336, 0.6229, 0.4339, 3.0243, 0.8104, 1.1008
-0.1264, 0.6115, 0.4339, 3.0162, 0.9510, 1.0978
-0.1182, 0.6008, 0.4339, 3.0018, 1.0926, 1.0926
-0.1091, 0.5909, 0.4339, 2.9810, 1.2348, 1.0850
-0.0992, 0.5818, 0.4339, 2.9536, 1.3773, 1.0750
-0.0885, 0.5736, 0.4339, 2.9196, 1.5198, 1.0626
-0.0771, 0.5664, 0.4339, 2.8787, 1.6620, 1.0478
-0.0652, 0.5602, 0.4339, 2.8310, 1.8035, 1.0304
-0.0528, 0.5550, 0.4339, 2.7762, 1.9439, 1.0104
-0.0399, 0.5510, 0.4339, 2.7143, 2.0828, 0.9879
-0.0268, 0.5481, 0.4339, 2.6453, 2.2197, 0.9628
-0.0134, 0.5463, 0.4339, 2.5692, 2.3542, 0.9351
-0.0000, 0.5457, 0.4339, 2.4859, 2.4859, 0.9048
0.0134, 0.5463, 0.4339, 2.3955, 2.6142, 0.8719
0.0268, 0.5481, 0.4339, 2.2981, 2.7388, 0.8364
0.0399, 0.5510, 0.4339, 2.1938, 2.8591, 0.7985
0.0528, 0.5550, 0.4339, 2.0828, 2.9745, 0.7581
0.0652, 0.5602, 0.4339, 1.9652, 3.0847, 0.7153
0.0771, 0.5664, 0.4339, 1.8413, 3.1892, 0.6702
0.0885, 0.5736, 0.4339, 1.7113, 3.2873, 0.6229
0.0992, 0.5818, 0.4339, 1.5756, 3.3788, 0.5735
0.1091, 0.5909, 0.4339, 1.4344, 3.4631, 0.5221
0.1182, 0.6008, 0.4339, 1.2884, 3.5397, 0.4689
0.1264, 0.6115, 0.4339, 1.1377, 3.6084, 0.4141
0.1336, 0.6229, 0.4339, 0.9830, 3.6687, 0.3578
0.1398, 0.6348, 0.4339, 0.8248, 3.7204, 0.3002
0.1450, 0.6472, 0.4339, 0.6635, 3.7630, 0.2415
0.1490, 0.6601, 0.4339, 0.4998, 3.7964, 0.1819
0.1519, 0.6732, 0.4339, 0.3342, 3.8204, 0.1217
0.1537, 0.6866, 0.4339, 0.1674, 3.8349, 0.0609
0.1200, 0.7000, 0.4578, 0.0000, 3.6652, -0.0000
0.1195, 0.7105, 0.4578, -0.1598, 3.6609, -0.0428
0.1182, 0.7208, 0.4578, -0.3192, 3.6482, -0.0855
0.1159, 0.7311, 0.4578, -0.4775, 3.6271, -0.1279
0.1128, 0.7410, 0.4578, -0.6344, 3.5976, -0.1700
0.1088, 0.7507, 0.4578, -0.7892, 3.5599, -0.2115
0.1039, 0.7600, 0.4578, -0.9416, 3.5142, -0.2523
0.0983, 0.7688, 0.4578, -1.0912, 3.4607, -0.2924
0.0919, 0.7771, 0.4578, -1.2374, 3.3996, -0.3315
0.0849, 0.7849, 0.4578, -1.3798, 3.3311, -0.3697
0.0771, 0.7919, 0.4578, -1.5181, 3.2556, -0.4068
0.0688, 0.7983, 0.4578, -1.6520, 3.1734, -0.4426
0.0600, 0.8039, 0.4578, -1.7809, 3.0847, -0.4772
0.0507, 0.8088, 0.4578, -1.9048, 2.9900, -0.5104
0.0410, 0.8128, 0.4578, -2.0233, 2.8895, -0.5421
0.0311, 0.8159, 0.4578, -2.1360, 2.7837, -0.5724
0.0208, 0.8182, 0.4578, -2.2429, 2.6730, -0.6010
0.0105, 0.8195, 0.4578, -2.3438, 2.5578, -0.6280
0.0000, 0.8200, 0.4578, -2.4383, 2.4383, -0.6534
-0.0105, 0.8195, 0.4578, 2.0181, -1.8492, 0.5407
-0.0208, 0.8182, 0.4578, 2.1066, -1.7676, 0.5645
-0.0311, 0.8159, 0.4578, 2.1924, -1.6823, 0.5874
-0.0410, 0.8128, 0.4578, 2.2752, -1.5931, 0.6096
-0.0507, 0.8088, 0.4578, 2.3549, -1.5002, 0.6310
-0.0600, 0.8039, 0.4578, 2.4313, -1.4037, 0.6515
-0.0688, 0.7983, 0.4578, 2.5043, -1.3037, 0.6710
-0.0771, 0.7919, 0.4578, 2.5738, -1.2002, 0.6896
-0.0849, 0.7849, 0.4578, 2.6395, -1.0933, 0.7072
-0.0919, 0.7771, 0.4578, 2.7012, -0.9832, 0.7238
-0.0983, 0.7688, 0.4578, 2.7589, -0.8699, 0.7393
-0.1039, 0.7600, 0.4578, 2.8124, -0.7536, 0.7536
-0.1088, 0.7507, 0.4578, 2.8614, -0.6344, 0.7667
-0.1128, 0.7410, 0.4578, 2.9058, -0.5124, 0.7786
-0.1159, 0.7311, 0.4578, 2.9455, -0.3878, 0.7893
-0.1182, 0.7208, 0.4578, 2.9803, -0.2607, 0.7986
-0.1195, 0.7105, 0.4578, 3.0101, -0.1314, 0.8065
-0.1200, 0.7000, 0.4578, 3.0345, 0.0000, 0.8131
-0.1195, 0.6895, 0.4578, 3.0536, 0.1333, 0.8182
-0.1182, 0.6792, 0.4578, 3.0672, 0.2683, 0.8219
-0.1159, 0.6689, 0.4578, 3.0751, 0.4048, 0.8240
-0.1128, 0.6590, 0.4578, 3.0771, 0.5426, 0.8245
-0.1088, 0.6493, 0.4578, 3.0732, 0.6813, 0.8234
-0.1039, 0.6400, 0.4578, 3.0631, 0.8208, 0.8208
-0.0983, 0.6312, 0.4578, 3.0469, 0.9607, 0.8164
-0.0919, 0.6229, 0.4578, 3.0243, 1.1008, 0.8104
-0.0849, 0.6151, 0.4578, 2.9953, 1.2407, 0.8026
-0.0771, 0.6081, 0.4578, 2.9599, 1.3802, 0.7931
-0.0688, 0.6017, 0.4578, 2.9179, 1.5189, 0.7818
-0.0600, 0.5961, 0.4578, 2.8692, 1.6566, 0.7688
-0.0507, 0.5912, 0.4578, 2.8140, 1.7927, 0.7540
-0.0410, 0.5872, 0.4578, 2.7520, 1.9270, 0.7374
-0.0311, 0.5841, 0.4578, 2.6835, 2.0591, 0.7190
-0.0208, 0.5818, 0.4578, 2.6083, 2.1886, 0.6989
-0.0105, 0.5805, 0.4578, 2.5266, 2.3152, 0.6770
-0.0000, 0.5800, 0.4578, 2.4383, 2.4383, 0.6534
0.0105, 0.5805, 0.4578, 2.3438, 2.5578, 0.6280
0.0208, 0.5818, 0.4578, 2.2429, 2.6730, 0.6010
0.0311, 0.5841, 0.4578, 2.1360, 2.7837, 0.5724
0.0410, 0.5872, 0.4578, 2.0233, 2.8895, 0.5421
0.0507, 0.5912, 0.4578, 1.9048, 2.9900, 0.5104
0.0600, 0.5961, 0.4578, 1.7809, 3.0847, 0.4772
0.0688, 0.6017, 0.4578, 1.6520, 3.1734, 0.4426
0.0771, 0.6081, 0.4578, 1.5181, 3.2556, 0.4068
0.0849, 0.6151, 0.4578, 1.3798, 3.3311, 0.3697
0.0919, 0.6229, 0.4578, 1.2374, 3.3996, 0.3315
0.0983, 0.6312, 0.4578, 1.0912, 3.4607, 0.2924
0.1039, 0.6400, 0.4578, 0.9416, 3.5142, 0.2523
0.1088, 0.6493, 0.4578, 0.7892, 3.5599, 0.2115
0.1128, 0.6590, 0.4578, 0.6344, 3.5976, 0.1700
0.1159, 0.6689, 0.4578, 0.4775, 3.6271, 0.1279
0.1182, 0.6792, 0.4578, 0.3192, 3.6482, 0.0855
0.1195, 0.6895, 0.4578, 0.1598, 3.6609, 0.0428
0.0821, 0.7000, 0.4755, 0.0000, 3.4907, -0.0000
0.0818, 0.7072, 0.4755, -0.1522, 3.4869, -0.0268
0.0808, 0.7143, 0.4755, -0.3041, 3.4756, -0.0536
0.0793, 0.7212, 0.4755, -0.4551, 3.4569, -0.0802
0.0771, 0.7281, 0.4755, -0.6049, 3.4307, -0.1067
0.0744, 0.7347, 0.4755, -0.7532, 3.3973, -0.1328
0.0711, 0.7410, 0.4755, -0.8994, 3.3566, -0.1586
0.0672, 0.7471, 0.4755, -1.0433, 3.3089, -0.1840
0.0629, 0.7528, 0.4755, -1.1845, 3.2543, -0.2089
0.0580, 0.7580, 0.4755, -1.3225, 3.1929, -0.2332
0.0528, 0.7629, 0.4755, -1.4572, 3.1250, -0.2569
0.0471, 0.7672, 0.4755, -1.5882, 3.0509, -0.2800
0.0410, 0.7711, 0.4755, -1.7151, 2.9706, -0.3024
0.0347, 0.7744, 0.4755, -1.8377, 2.8846, -0.3240
0.0281, 0.7771, 0.4755, -1.9557, 2.7930, -0.3448
0.0212, 0.7793, 0.4755, -2.0689, 2.6962, -0.3648
0.0143, 0.7808, 0.4755, -2.1770, 2.5944, -0.3839
0.0072, 0.7818, 0.4755, -2.2798, 2.4879, -0.4020
0.0000, 0.7821, 0.4755, -2.3771, 2.3771, -0.4192
-0.0072, 0.7818, 0.4755, 2.1250, -1.9472, 0.3747
-0.0143, 0.7808, 0.4755, 2.2151, -1.8587, 0.3906
-0.0212, 0.7793, 0.4755, 2.3019, -1.7663, 0.4059
-0.0281, 0.7771, 0.4755, 2.3852, -1.6702, 0.4206
-0.0347, 0.7744, 0.4755, 2.4649, -1.5703, 0.4346
-0.0410, 0.7711, 0.4755, 2.5407, -1.4669, 0.4480
-0.0471, 0.7672, 0.4755, 2.6125, -1.3600, 0.4606
-0.0528, 0.7629, 0.4755, 2.6801, -1.2498, 0.4726
-0.0580, 0.7580, 0.4755, 2.7434, -1.1364, 0.4837
-0.0629, 0.7528, 0.4755, 2.8022, -1.0199, 0.4941
-0.0672, 0.7471, 0.4755, 2.8564, -0.9006, 0.5037
-0.0711, 0.7410, 0.4755, 2.9058, -0.7786, 0.5124
-0.0744, 0.7347, 0.4755, 2.9503, -0.6541, 0.5202
-0.0771, 0.7281, 0.4755, 2.9897, -0.5272, 0.5272
-0.0793, 0.7212, 0.4755, 3.0239, -0.3981, 0.5332
